project_id,project_name,state,district,sector,legal_disputes,compensation_paid_pct,pending_approvals,rehabilitation_progress_pct,land_area_ha,is_delayed,delay_months
LA-2026-1001,Golden Quadrilateral Expansion,Gujarat,Ahmedabad,Highways & Expressways,1,85.0,1,90.0,620.0,0,1.2
LA-2026-1002,Dedicated Freight Corridor (North),Uttar Pradesh,Varanasi,Railways & Dedicated Freight,6,45.0,5,40.0,1100.0,1,6.2
LA-2026-1003,Infrastructure Project 3,Madhya Pradesh,District-3,Renewable Energy & Solar,3,75.6,1,90.3,2430.8,0,2.9
LA-2026-1004,Maharashtra Highways Phase-1 (Thane Corridor),Maharashtra,Thane,Highways & Expressways,8,32.0,6,25.0,1450.0,1,7.5
LA-2026-1005,Infrastructure Project 5,Uttar Pradesh,District-5,Railways & Dedicated Freight,1,58.6,2,41.9,1607.3,1,4.1
LA-2026-1006,Infrastructure Project 6,Gujarat,District-6,Renewable Energy & Solar,1,99.3,1,59.4,1562.6,0,1.9
LA-2026-1007,Infrastructure Project 7,Karnataka,District-7,Highways & Expressways,1,58.0,2,57.7,1338.9,0,3.8
LA-2026-1008,Infrastructure Project 8,Madhya Pradesh,District-8,Ports & Maritime,3,100.0,3,94.8,2258.1,0,2.8
LA-2026-1009,Infrastructure Project 9,Rajasthan,District-9,Ports & Maritime,1,49.8,2,25.4,846.1,1,4.8
LA-2026-1010,Infrastructure Project 10,Uttar Pradesh,District-10,Highways & Expressways,1,56.5,0,80.3,2075.6,0,2.5
LA-2026-1011,Infrastructure Project 11,Maharashtra,District-11,Renewable Energy & Solar,2,53.2,3,57.3,915.3,1,4.8
LA-2026-1012,Infrastructure Project 12,Telangana,District-12,Highways & Expressways,4,89.5,3,84.9,1183.3,0,3.8
LA-2026-1013,Infrastructure Project 13,Gujarat,District-13,Renewable Energy & Solar,0,71.7,3,57.5,1143.9,0,3.2
LA-2026-1014,Infrastructure Project 14,Karnataka,District-14,Highways & Expressways,1,53.8,5,52.5,2252.9,1,5.3
LA-2026-1015,Infrastructure Project 15,Karnataka,District-15,Renewable Energy & Solar,3,62.2,2,28.4,1374.7,1,5.3
LA-2026-1016,Infrastructure Project 16,Maharashtra,District-16,Railways & Dedicated Freight,1,79.1,2,60.8,1036.3,0,3.0
LA-2026-1017,Infrastructure Project 17,Maharashtra,District-17,Railways & Dedicated Freight,2,48.5,0,40.2,1602.0,1,4.2
LA-2026-1018,Infrastructure Project 18,Gujarat,District-18,Renewable Energy & Solar,0,79.6,1,58.5,1325.7,0,2.1
LA-2026-1019,Infrastructure Project 19,Telangana,District-19,Railways & Dedicated Freight,2,85.8,3,42.3,407.7,0,4.0
LA-2026-1020,Infrastructure Project 20,Maharashtra,District-20,Highways & Expressways,1,72.0,1,52.4,1377.8,0,3.0
LA-2026-1021,Infrastructure Project 21,Karnataka,District-21,Renewable Energy & Solar,1,51.6,1,100.0,984.5,0,2.6
LA-2026-1022,Infrastructure Project 22,Maharashtra,District-22,Railways & Dedicated Freight,4,97.3,1,100.0,2263.6,0,2.4
LA-2026-1023,Infrastructure Project 23,Tamil Nadu,District-23,Renewable Energy & Solar,2,80.4,3,72.4,571.7,0,3.5
LA-2026-1024,Infrastructure Project 24,Rajasthan,District-24,Renewable Energy & Solar,1,75.9,0,47.1,569.9,0,2.6
LA-2026-1025,Infrastructure Project 25,Gujarat,District-25,Railways & Dedicated Freight,2,50.5,3,84.7,1712.5,1,4.3
LA-2026-1026,Infrastructure Project 26,Maharashtra,District-26,Renewable Energy & Solar,0,42.6,2,45.7,2251.7,1,4.1
LA-2026-1027,Infrastructure Project 27,Karnataka,District-27,Ports & Maritime,3,82.5,1,43.6,1684.6,0,3.8
LA-2026-1028,Infrastructure Project 28,Maharashtra,District-28,Renewable Energy & Solar,4,67.5,4,83.5,2157.6,1,5.1
LA-2026-1029,Infrastructure Project 29,Telangana,District-29,Ports & Maritime,1,73.5,1,74.6,1614.5,0,2.4
LA-2026-1030,Infrastructure Project 30,Rajasthan,District-30,Ports & Maritime,1,77.2,3,79.0,2061.5,0,3.0
LA-2026-1031,Infrastructure Project 31,Karnataka,District-31,Railways & Dedicated Freight,5,89.1,2,81.3,416.2,0,4.0
LA-2026-1032,Infrastructure Project 32,Madhya Pradesh,District-32,Ports & Maritime,0,100.0,2,18.3,285.9,0,2.7
LA-2026-1033,Infrastructure Project 33,Rajasthan,District-33,Ports & Maritime,1,100.0,1,68.2,396.3,0,1.6
LA-2026-1034,Infrastructure Project 34,Tamil Nadu,District-34,Renewable Energy & Solar,3,70.3,2,76.1,1209.6,0,3.8
LA-2026-1035,Infrastructure Project 35,Madhya Pradesh,District-35,Railways & Dedicated Freight,0,54.6,1,100.0,775.6,0,2.0
LA-2026-1036,Infrastructure Project 36,Rajasthan,District-36,Railways & Dedicated Freight,2,100.0,1,90.8,1018.7,0,1.6
LA-2026-1037,Infrastructure Project 37,Tamil Nadu,District-37,Railways & Dedicated Freight,0,65.3,0,100.0,1330.7,0,1.2
LA-2026-1038,Infrastructure Project 38,Madhya Pradesh,District-38,Renewable Energy & Solar,1,100.0,1,29.2,1061.6,0,2.5
LA-2026-1039,Infrastructure Project 39,Gujarat,District-39,Ports & Maritime,3,74.0,0,50.0,1547.3,0,3.5
LA-2026-1040,Infrastructure Project 40,Karnataka,District-40,Renewable Energy & Solar,3,83.7,3,66.8,359.5,0,4.0
LA-2026-1041,Infrastructure Project 41,Madhya Pradesh,District-41,Railways & Dedicated Freight,0,75.6,0,49.4,933.6,0,2.1
LA-2026-1042,Infrastructure Project 42,Gujarat,District-42,Railways & Dedicated Freight,0,58.2,0,86.2,1802.5,0,1.8
